"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:UTI89_C4738","gene:UTI89_C4738",302.143121935439,-0.77932396074199,0.266847169209835,-2.92048801960185,0.00349483634111717,0.0856318512098615
"gene:UTI89_C2328","gene:UTI89_C2328",25.1940751288595,-1.12768906440854,0.350940048938782,-3.21333819784488,0.00131201698696757,0.0436288246120839
"gene:UTI89_C0881","gene:UTI89_C0881",1448.61833717989,-1.36257602894424,0.304244039583138,-4.47856277089662,7.51472740443761e-06,0.000785365694655613
"gene:UTI89_C2182","gene:UTI89_C2182",204.259129868304,1.28356677269602,0.409448218213332,3.134869601575,0.00171930517865549,0.0536863525603339
"gene:UTI89_C2349","gene:UTI89_C2349",870.539934059383,-0.79422981067735,0.276536898670786,-2.87205727154289,0.00407809052756565,0.095797713723228
"gene:UTI89_C2149","gene:UTI89_C2149",59.2707298763643,1.74895851523513,0.390089810457085,4.48347654399328,7.34366782507965e-06,0.000783477561088185
"gene:UTI89_C0080","gene:UTI89_C0080",550.842849891621,-0.998520305092212,0.292827747530152,-3.40992379825411,0.000649810326162416,0.0257765098574221
"gene:UTI89_C1265","gene:UTI89_C1265",956.072302719936,-0.910264631387494,0.303164091713912,-3.0025476508164,0.00267730055873293,0.0714086258399549
"gene:UTI89_C2136","gene:UTI89_C2136",568.843298584946,0.588995511334239,0.195537758268328,3.01218300010367,0.00259376181704687,0.0702785939952225
"gene:UTI89_C4031","gene:UTI89_C4031",4.61142269506853,1.10349474533008,0.382612916940218,2.88410217343106,0.00392531373265804,0.0946681822775405
"gene:UTI89_C3158","gene:UTI89_C3158",174.640232908643,-1.03239263778643,0.249593559049653,-4.1362951901377,3.5295809251963e-05,0.00258214055970432
"gene:UTI89_C2083","gene:UTI89_C2083",239.39680860518,1.90241194730173,0.40715313200072,4.67247283093077,2.97594892542624e-06,0.000401048274923889
"gene:UTI89_C0337","gene:UTI89_C0337",7.20850618746,1.21710003637114,0.395637658863821,3.07629976344105,0.00209587021150842,0.0616836284662908
