"","rownames(resOrderedDF)","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:UTI89_C2182","gene:UTI89_C2182",204.259129868304,1.41727665412859,0.409438485249778,3.46151303599118,0.000537148105411737,0.0382118898372904
"gene:UTI89_C4029","gene:UTI89_C4029",40.3972148909444,1.31109745915065,0.38424678365463,3.41212344493972,0.000644589154950328,0.0451603068559139
"gene:UTI89_C3425","gene:UTI89_C3425",928.379217445538,1.33193144983531,0.409169441730838,3.25520753505215,0.00113309532660071,0.0689399051342326
"gene:UTI89_C5074","gene:UTI89_C5074",693.733300108974,1.54677228329062,0.401063995016639,3.85667200873129,0.00011494122495828,0.0118108494268242
"gene:UTI89_C0596","gene:UTI89_C0596",990.310469053026,2.6208616203699,0.404145098253069,6.48495214144293,8.87599554437306e-11,6.35415333675974e-08
"gene:UTI89_C2429","gene:UTI89_C2429",2170.2499308553,1.45910707429598,0.406919263309138,3.58574097089991,0.000336122466277083,0.025479184984676
"gene:UTI89_C3034","gene:UTI89_C3034",55.2650288761979,1.49857450915813,0.407392561201126,3.67845329512115,0.000234652648861079,0.0200932194135857
"gene:UTI89_C2330","gene:UTI89_C2330",52.7167344849748,-0.929886928227905,0.285436698566789,-3.25776935095233,0.00112291635070808,0.0689399051342326
"gene:UTI89_P028","gene:UTI89_P028",2683.15055212348,1.25315348016086,0.401458566295797,3.12150140853523,0.0017993138722191,0.0990914743596352
"gene:UTI89_P010","gene:UTI89_P010",6475.65408151308,1.70359554288477,0.406209442000337,4.19388464850937,2.74217465448843e-05,0.00372318200435397
"gene:UTI89_C1229","gene:UTI89_C1229",541.324605632322,1.39670656317834,0.396810328346735,3.51983419634656,0.000431816646910699,0.0316939710367472
"gene:UTI89_C0600","gene:UTI89_C0600",796.389015149007,1.29076129521875,0.359489113912327,3.59054348314299,0.000329989170931254,0.0254311654397687
"gene:UTI89_C2181","gene:UTI89_C2181",2128.19749902293,1.47909311542695,0.396644436984967,3.72901515188277,0.000192229594530177,0.0173006396764703
"gene:UTI89_P029","gene:UTI89_P029",4603.23469174177,1.27182047018079,0.408602719261123,3.11260892360342,0.00185441569077339,0.0997071878387923
"gene:UTI89_P012","gene:UTI89_P012",1888.43064620086,2.06656991921118,0.408345449520527,5.06083739059101,4.17419105509014e-07,9.6507297193684e-05
"gene:UTI89_C0599","gene:UTI89_C0599",297.745892610481,2.36144319665808,0.394848877820249,5.98062532099459,2.22282634100673e-09,8.56529083401261e-07
"gene:UTI89_C2187","gene:UTI89_C2187",626.047319373208,1.26569348024943,0.406457634179752,3.11396163785594,0.00184593488809423,0.0997071878387923
"gene:UTI89_P011","gene:UTI89_P011",4208.82765711841,1.98599563919438,0.404991939825533,4.90379052988049,9.40047343528082e-07,0.000188990387672776
"gene:UTI89_C0584","gene:UTI89_C0584",3984.45295376133,1.69171937512494,0.402332395141211,4.20478041429197,2.61335752567676e-05,0.0036618682420392
"gene:UTI89_C4034","gene:UTI89_C4034",2081.35586568925,1.80518076740335,0.408047323873427,4.42394953180308,9.69126687463603e-06,0.00160044350101132
"gene:UTI89_C0166","gene:UTI89_C0166",5075.84341631404,1.54838792251606,0.409370745275725,3.78236095369534,0.000155347873731262,0.0146597666965991
"gene:UTI89_P017","gene:UTI89_P017",283.276689048471,1.92739564600665,0.364490667225766,5.2879149435473,1.23718478648736e-07,3.17819025150974e-05
"gene:UTI89_C1708","gene:UTI89_C1708",545.891506460362,1.5879811175932,0.364790881302254,4.35312722709604,1.34209210195007e-05,0.00206861129313904
"gene:UTI89_C4237","gene:UTI89_C4237",796.828231263507,-2.33406736458756,0.358961026615519,-6.50228629719061,7.91083582276948e-11,6.35415333675974e-08
"gene:UTI89_C0586","gene:UTI89_C0586",695.085920800273,1.45160020080842,0.401401275956448,3.61633180499885,0.000298807317332436,0.0234183904295794
"gene:UTI89_C0590","gene:UTI89_C0590",403.720420322976,1.65196366873241,0.408384565923659,4.04511778009068,5.22968250804335e-05,0.00604551297929811
"gene:UTI89_C3911","gene:UTI89_C3911",126.235121987294,1.35567781957299,0.40004867557804,3.38878217160483,0.000702037559175737,0.0477385540239501
"gene:UTI89_C3035","gene:UTI89_C3035",578.740699437972,1.70929031364606,0.404288228012544,4.22790028304515,2.35882283329865e-05,0.00340849899411656
"gene:UTI89_C2336","gene:UTI89_C2336",44.9964594540298,-1.26081995389001,0.371048406836565,-3.39799317463546,0.000678821136578515,0.0468487900826724
"gene:UTI89_C4033","gene:UTI89_C4033",1342.17724934614,1.5397387679685,0.403758185356862,3.81351715905796,0.000137003008703795,0.0133383291588159
"gene:UTI89_C0168","gene:UTI89_C0168",475.855823890261,2.12169763012731,0.393032134999065,5.3982802961706,6.72826944928272e-08,1.8300892902049e-05
"gene:UTI89_C4026","gene:UTI89_C4026",616.684767013434,1.35034546805037,0.388626605327361,3.47466037975682,0.000511500495562791,0.0369559108044117
"gene:UTI89_C0495","gene:UTI89_C0495",537.356639414159,1.08931281064168,0.343969513994672,3.1668876639415,0.00154079826192893,0.0879586563353006
"gene:UTI89_C0583","gene:UTI89_C0583",802.653948531609,1.7144316242298,0.409398496330111,4.18768422355758,2.81815246869353e-05,0.00372318200435397
"gene:UTI89_P013","gene:UTI89_P013",1694.50888592249,2.12037557700347,0.404319008900424,5.24431335239466,1.56865409962628e-07,3.81760871403785e-05
"gene:UTI89_C4028","gene:UTI89_C4028",4972.88135322909,1.67426093004483,0.408501463812272,4.0985432816325,4.15758500768293e-05,0.00505912449355944
