"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:UTI89_C1761","gene:UTI89_C1761",1193.23634439674,-0.555303482969458,0.17773455970759,-3.12434162429101,0.00178203425711524,0.0990268359621843
"gene:UTI89_C0964","gene:UTI89_C0964",553.850044039403,0.699206774141616,0.180930143789552,3.86451234436034,0.000111311360874828,0.0251227320779919
"gene:UTI89_C0080","gene:UTI89_C0080",567.708425158723,-1.05381612484038,0.284480454822968,-3.70435334651081,0.000211930673820032,0.0343696266673357
"gene:UTI89_C3016","gene:UTI89_C3016",578.124873652787,-1.38464359802762,0.423136090546176,-3.2723363214902,0.00106662611986718,0.07777477124744
"gene:UTI89_C0003","gene:UTI89_C0003",2033.67396787302,-0.820440399225828,0.247594120338669,-3.31365057499587,0.000920865091529664,0.0746701476392532
"gene:UTI89_C2109","gene:UTI89_C2109",1436.83836417164,0.705636534084189,0.19888712601418,3.54792463557385,0.000388279304797436,0.0499407519618772
"gene:UTI89_C0773","gene:UTI89_C0773",1329.45998782575,-1.38356934856079,0.418608098632888,-3.30516622368112,0.000949200869465436,0.0753301966618314
"gene:UTI89_C0053","gene:UTI89_C0053",418.695061409093,-0.705821888951489,0.222555157050567,-3.17144701702473,0.00151681534723114,0.0927495286093794
"gene:UTI89_C1707","gene:UTI89_C1707",2200.88555059071,-1.44723880839001,0.448334193834557,-3.22803575612184,0.00124643393155047,0.081564887099706
"gene:UTI89_C0857","gene:UTI89_C0857",2517.82101502062,-1.29018361603859,0.266978497242776,-4.83253756150021,1.34803667557894e-06,0.000838029466651577
"gene:UTI89_C4048","gene:UTI89_C4048",2800.09741111153,-1.41222369762497,0.369915635650331,-3.81769128288457,0.000134706338219796,0.0251227320779919
"gene:UTI89_C1077","gene:UTI89_C1077",2327.09500310488,-1.81336886909009,0.335883086658836,-5.39880970824817,6.70844814221206e-08,8.34083719015032e-05
"gene:UTI89_C0516","gene:UTI89_C0516",1379.79870230261,-1.81475371975736,0.448743190858178,-4.04408079437778,5.25288039639377e-05,0.0178120398895898
"gene:UTI89_C0809","gene:UTI89_C0809",103.429625387907,-0.928724007642691,0.298163522410086,-3.11481431442626,0.00184060738329271,0.0990268359621843
"gene:UTI89_C4222","gene:UTI89_C4222",266.949755373162,1.3698953307338,0.439058017781059,3.12007815654312,0.00180803060615472,0.0990268359621843
