"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:UTI89_C4730","gene:UTI89_C4730",522.846334410288,0.702353603454149,0.259903781294741,2.70236008093185,0.00688491554000917,0.0685479354411237
"gene:UTI89_C5046","gene:UTI89_C5046",234.911066850563,-0.865552624525624,0.27613393382223,-3.13453914390272,0.00172124287829097,0.0286630055367906
"gene:UTI89_C1761","gene:UTI89_C1761",1131.31718835107,-0.63282915576511,0.225732119667867,-2.8034519708415,0.00505587620338004,0.055753472366335
"gene:UTI89_C0607","gene:UTI89_C0607",633.703758293979,-0.69309632258949,0.218228066633065,-3.17601825137773,0.00149311556933938,0.0264595835614518
"gene:UTI89_C4055","gene:UTI89_C4055",280.135768054612,-0.800407689670516,0.284950171477621,-2.80893914020114,0.00497050419073835,0.0551909209566085
"gene:UTI89_C0701","gene:UTI89_C0701",90.2019799865091,-1.2088041871384,0.469719735460148,-2.57345837503342,0.01006877576653,0.0895044480536264
"gene:UTI89_C0541","gene:UTI89_C0541",29.9689567402212,-0.970969285979966,0.328512922917667,-2.95565019895219,0.00312010735532379,0.04142092932591
"gene:UTI89_C2328","gene:UTI89_C2328",17.8682151033933,-0.945838573908005,0.358800139020405,-2.63611540533493,0.00838612047235483,0.0786292797275661
"gene:UTI89_C0374","gene:UTI89_C0374",378.426704812081,0.745493312481139,0.250834250105209,2.97205549947207,0.00295813205660586,0.0402049894750917
"gene:UTI89_C2726","gene:UTI89_C2726",1653.0668652207,0.99184979915593,0.272612078865606,3.6383193411063,0.000274423025385977,0.00760025608813233
"gene:UTI89_C2182","gene:UTI89_C2182",278.501535434707,1.83926667728084,0.486396635926126,3.78141323650147,0.000155940572068378,0.00504496994280449
"gene:UTI89_C3667","gene:UTI89_C3667",5126.77524838028,-1.30165704189575,0.309946560852176,-4.19961763188124,2.67366101446936e-05,0.00132828581739462
"gene:UTI89_C0230","gene:UTI89_C0230",1140.57678325916,1.04369304036107,0.298261198792119,3.49925851766088,0.000466553996309208,0.0114710393276228
"gene:UTI89_C2349","gene:UTI89_C2349",745.395822401305,-0.797184079185361,0.296380479576025,-2.68973206442522,0.00715094079352274,0.0703655347114542
"gene:UTI89_C2149","gene:UTI89_C2149",33.335861153136,1.78326473087797,0.476078076144166,3.74574007969644,0.000179862742971412,0.00562830232713788
"gene:UTI89_C2852","gene:UTI89_C2852",5320.53757560981,-0.85904356611836,0.33209277991329,-2.58675773180813,0.00968836847319928,0.0871870626200467
"gene:UTI89_C4702","gene:UTI89_C4702",712.999671149036,1.1084929597774,0.3037627921421,3.64920585553101,0.00026305225081776,0.00732744969185424
"gene:UTI89_C2397","gene:UTI89_C2397",253.006124158188,0.961745034697442,0.271943834598346,3.5365575988068,0.000405378094488526,0.010336068980636
"gene:UTI89_C4101","gene:UTI89_C4101",162.521781045787,-0.890395914363206,0.287520287601951,-3.09681073912909,0.00195614721456309,0.0304252766339617
"gene:UTI89_C0080","gene:UTI89_C0080",606.380016548745,-1.04344967573221,0.346840086205406,-3.00844601657219,0.00262587448657038,0.0374381335821973
"gene:UTI89_C2855","gene:UTI89_C2855",3418.40654233424,1.33593231734137,0.45884465292085,2.91151331684325,0.003596825749983,0.0444438545876105
"gene:UTI89_C0576","gene:UTI89_C0576",636.713941613401,1.02526445528254,0.386888861866595,2.65002318840615,0.00804862465060439,0.0765357673404888
"gene:UTI89_C1196","gene:UTI89_C1196",695.512889330543,1.3747712576364,0.474178121478975,2.89927180391294,0.00374030498177524,0.0457417419719746
"gene:UTI89_C2697","gene:UTI89_C2697",281.583380288813,-0.762107642723777,0.233433156417187,-3.26477889611257,0.00109549554621568,0.0218148472612123
"gene:UTI89_C3016","gene:UTI89_C3016",478.611280258818,-1.23851153316893,0.41647369739541,-2.97380492673241,0.00294131999881761,0.0402049894750917
