sample_id	file	total_mass	internal_scale	external_scale
q1_0	/data/strickt2/3369/clean_bams/3369-KRG-1/abundances.cxb	899882	0.523146	1
q2_0	/data/strickt2/3369/clean_bams/3369-KRG-2/abundances.cxb	579581	0.500803	1
q3_0	/data/strickt2/3369/clean_bams/3369-KRG-3/abundances.cxb	848073	1.09749	1
q4_0	/data/strickt2/3369/clean_bams/3369-KRG-4/abundances.cxb	1.07204e+06	1.25022	1
q5_0	/data/strickt2/3369/clean_bams/3369-KRG-5/abundances.cxb	1.06722e+06	0.565565	1
q6_0	/data/strickt2/3369/clean_bams/3369-KRG-6/abundances.cxb	872327	0.712717	1
q7_0	/data/strickt2/3369/clean_bams/3369-KRG-10/abundances.cxb	967917	0.47732	1
q8_0	/data/strickt2/3369/clean_bams/3369-KRG-11/abundances.cxb	1.08498e+06	0.518559	1
q9_0	/data/strickt2/3369/clean_bams/3369-KRG-12/abundances.cxb	1.11545e+06	0.604793	1
q10_0	/data/strickt2/3369/clean_bams/3369-KRG-19/abundances.cxb	1.26945e+06	1.37801	1
q11_0	/data/strickt2/3369/clean_bams/3369-KRG-24/abundances.cxb	1.7728e+06	3.17883	1
q12_0	/data/strickt2/3369/clean_bams/3369-KRG-25/abundances.cxb	1.67336e+06	6.41011	1
q13_0	/data/strickt2/3369/clean_bams/3369-KRG-45/abundances.cxb	1.33218e+06	1.02841	1
q14_0	/data/strickt2/3369/clean_bams/3369-KRG-46/abundances.cxb	981304	1.21721	1
q15_0	/data/strickt2/3369/clean_bams/3369-KRG-47/abundances.cxb	1.09189e+06	1.47484	1
q16_0	/data/strickt2/3369/clean_bams/3369-KRG-48/abundances.cxb	1.02356e+06	1.22485	1
q17_0	/data/strickt2/3369/clean_bams/3369-KRG-49/abundances.cxb	968190	1.1259	1
q18_0	/data/strickt2/3369/clean_bams/3369-KRG-50/abundances.cxb	935982	0.809635	1
q19_0	/data/strickt2/3369/clean_bams/3369-KRG-51/abundances.cxb	1.02945e+06	1.17029	1
q20_0	/data/strickt2/3369/clean_bams/3369-KRG-52/abundances.cxb	938951	0.737279	1
q21_0	/data/strickt2/3369/clean_bams/3369-KRG-53/abundances.cxb	902976	0.750503	1
q22_0	/data/strickt2/3369/clean_bams/3369-KRG-76/abundances.cxb	483668	0.701751	1
q23_0	/data/strickt2/3369/clean_bams/3369-KRG-77/abundances.cxb	711113	0.898584	1
q24_0	/data/strickt2/3369/clean_bams/3369-KRG-78/abundances.cxb	858038	1.25992	1
q25_0	/data/strickt2/3369/clean_bams/3369-KRG-79/abundances.cxb	638837	1.10064	1
q26_0	/data/strickt2/3369/clean_bams/3369-KRG-80/abundances.cxb	567718	0.654626	1
q27_0	/data/strickt2/3369/clean_bams/3369-KRG-81/abundances.cxb	600094	0.946555	1
q28_0	/data/strickt2/3369/clean_bams/3369-KRG-82/abundances.cxb	532273	1.195	1
q29_0	/data/strickt2/3369/clean_bams/3369-KRG-83/abundances.cxb	670523	0.857061	1
q30_0	/data/strickt2/3369/clean_bams/3369-KRG-84/abundances.cxb	570542	0.92988	1
q31_0	/data/strickt2/3369/clean_bams/3369-KRG-85/abundances.cxb	646857	0.861857	1
q32_0	/data/strickt2/3369/clean_bams/3369-KRG-86/abundances.cxb	730431	0.669632	1
q33_0	/data/strickt2/3369/clean_bams/3369-KRG-87/abundances.cxb	646610	0.922003	1
q34_0	/data/strickt2/3369/clean_bams/3369-KRG-88/abundances.cxb	985852	1.41903	1
q35_0	/data/strickt2/3369/clean_bams/3369-KRG-89/abundances.cxb	956715	0.998005	1
q36_0	/data/strickt2/3369/clean_bams/3369-KRG-90/abundances.cxb	1.90348e+06	0.769785	1
q37_0	/data/strickt2/3369/clean_bams/3369-KRG-91/abundances.cxb	788846	1.52672	1
q38_0	/data/strickt2/3369/clean_bams/3369-KRG-92/abundances.cxb	828059	1.21753	1
q39_0	/data/strickt2/3369/clean_bams/3369-KRG-93/abundances.cxb	818564	1.49271	1
q40_0	/data/strickt2/3369/clean_bams/3369-KRG-94/abundances.cxb	1.04223e+06	2.19584	1
q41_0	/data/strickt2/3369/clean_bams/3369-KRG-95/abundances.cxb	857664	1.22439	1
q42_0	/data/strickt2/3369/clean_bams/3369-KRG-96/abundances.cxb	648299	1.07685	1
